FIPS,LCSPP21
17165,636.42
17167,461.26
17169,483.55
17171,483.55
17173,461.26
17175,490.21
17177,522.21
17179,490.21
17181,636.42
17183,547.09
17185,636.42
17187,485.69
17189,446.28
17191,636.42
17193,636.42
17195,485.69
17197,299.94
17199,636.42
17201,437.96
17203,490.21
18001,334.98
18003,349.36
18005,297.78
18007,304.72
18009,303.03
18011,322.14
18013,317.56
18015,298.1
18017,299.54
18019,256.6
18021,343.31
18023,298.1
18025,256.6
18027,294.57
18029,332.29
18031,297.78
18033,334.98
18035,303.03
18037,294.57
18039,309.11
18041,315.71
18043,256.6
18045,298.1
18047,332.29
18049,299.54
18051,292.31
18053,303.03
18055,294.57
18057,322.14
18059,315.71
18061,256.6
18063,322.14
18065,315.71
18067,299.54
18069,334.98
18071,297.78
18073,304.72
18075,303.03
18077,256.6
18079,297.78
18081,317.56
18083,294.57
18085,309.11
18087,334.98
18089,293.42
18091,293.42
18093,317.56
18095,315.71
18097,322.14
18099,309.11
18101,294.57
18103,299.54
18105,317.56
18107,298.1
18109,322.14
18111,304.72
18113,334.98
18115,332.29
18117,294.57
18119,317.56
18121,343.31
18123,294.57
18125,294.57
18127,293.42
18129,292.31
18131,299.54
18133,298.1
18135,303.03
18137,332.29
18139,297.78
18141,309.11
18143,256.6
18145,322.14
18147,294.57
18149,309.11
18151,334.98
18153,343.31
18155,332.29
18157,298.1
18159,298.1
18161,315.71
18163,292.31
18165,343.31
18167,343.31
18169,334.98
18171,304.72
18173,292.31
18175,256.6
18177,315.71
18179,334.98
18181,304.72
18183,334.98
19001,399.06
19003,399.06
19005,378.58
19007,344.69
19009,399.06
19011,324.14
19013,344.69
19015,321.95
19017,378.58
19019,324.14
19021,399.06
19023,378.58
19025,342.36
19027,342.36
19029,399.06
19031,324.14
19033,378.58
19035,399.06
19037,378.58
19039,399.06
19041,399.06
19043,344.69
19045,344.69
19047,399.06
19049,321.95
19051,344.69
19053,399.06
19055,324.14
19057,344.69
19059,399.06
19061,324.14
19063,378.58
19065,378.58
19067,378.58
19069,378.58
19071,399.06
19073,342.36
19075,321.95
19077,399.06
19079,342.36
19081,378.58
19083,342.36
19085,399.06
19087,344.69
19089,378.58
19091,378.58
19093,399.06
19095,344.69
19097,324.14
19099,321.95
19101,344.69
19103,344.69
19105,324.14
19107,344.69
19109,378.58
19111,344.69
19113,324.14
19115,344.69
19117,344.69
19119,399.06
19121,342.36
19123,344.69
19125,342.36
19127,321.95
19129,399.06
19131,378.58
19133,399.06
19135,344.69
19137,399.06
19139,324.14
19141,399.06
19143,399.06
19145,399.06
19147,399.06
19149,399.06
19151,399.06
19153,321.95
19155,399.06
19157,321.95
19159,399.06
19161,399.06
19163,324.14
19165,399.06
19167,399.06
19169,342.36
19171,321.95
19173,399.06
19175,399.06
19177,344.69
19179,344.69
19181,321.95
19183,344.69
19185,344.69
19187,342.36
19189,378.58
19191,378.58
19193,399.06
19195,378.58
19197,378.58
20001,467.06
20003,414.94
20005,414.94
20007,771.19
20009,430.3
20011,467.06
20013,414.94
20015,418.68
20017,418.68
20019,418.68
20021,467.06
20023,430.3
20025,771.19
20027,401.02
20029,401.02
20031,414.94
20033,771.19
20035,418.68
20037,467.06
20039,430.3
20041,401.02
20043,414.94
20045,414.94
20047,771.19
20049,418.68
20051,430.3
20053,401.02
20055,771.19
20057,771.19
20059,414.94
20061,401.02
20063,430.3
20065,430.3
20067,771.19
20069,771.19
20071,430.3
20073,418.68
20075,771.19
20077,418.68
20079,418.68
20081,771.19
20083,771.19
20085,414.94
20087,414.94
20089,401.02
20091,399.47
20093,771.19
20095,418.68
20097,771.19
20099,467.06
20101,430.3
20103,399.47
20105,401.02
20107,414.94
20109,430.3
20111,414.94
20113,418.68
20115,418.68
20117,414.94
20119,771.19
20121,399.47
20123,401.02
20125,418.68
20127,401.02
20129,771.19
20131,414.94
20133,467.06
20135,430.3
20137,430.3
20139,414.94
20141,430.3
20143,401.02
20145,771.19
20147,430.3
20149,414.94
20151,771.19
20153,430.3
20155,418.68
20157,401.02
20159,418.68
20161,401.02
20163,430.3
20165,430.3
20167,430.3
20169,401.02
20171,430.3
20173,418.68
20175,771.19
20177,414.94
20179,430.3
20181,430.3
20183,430.3
20185,771.19
20187,771.19
20189,771.19
20191,418.68
20193,430.3
20195,430.3
20197,414.94
20199,430.3
20201,401.02
20203,430.3
20205,418.68
20207,467.06
20209,399.47
21001,459.69
21003,379.27
21005,333.01
21007,401.53
21009,379.27
21011,385.59
21013,399.69
21015,396.52
21017,333.18
21019,385.59
21021,333.01
21023,385.59
21025,470.01
21027,382.42
21029,317.69
21031,379.27
21033,401.53
21035,401.53
21037,396.52
21039,401.53
21041,317.69
21043,385.59
21045,459.69
21047,397.52
21049,333.01
21051,470.01
21053,379.27
21055,401.53
21057,379.27
21059,397.52
21061,379.27
21063,385.59
21065,380.31
21067,333.01
21069,385.59
21071,399.69
21073,333.01
21075,401.53
21077,396.52
21079,333.01
21081,396.52
21083,401.53
21085,317.69
21087,459.69
21089,385.59
21091,397.52
21093,335.03
21095,399.69
21097,380.31
21099,379.27
21101,397.52
21103,317.69
21105,401.53
21107,397.52
21109,380.31
21111,317.69
21113,333.01
21115,399.69
21117,396.52
21119,399.69
21121,399.69
21123,317.69
21125,470.01
21127,385.59
21129,470.01
21131,399.69
21133,399.69
21135,385.59
21137,380.31
21139,401.53
21141,379.27
21143,401.53
21145,401.53
21147,459.69
21149,397.52
21151,380.31
21153,399.69
21155,382.42
21157,401.53
21159,399.69
21161,385.59
21163,317.69
21165,385.59
21167,333.01
21169,379.27
21171,379.27
21173,380.31
21175,327.9
21177,397.52
21179,317.69
21181,380.31
21183,397.52
21185,317.69
21187,333.01
21189,470.01
21191,396.52
21193,399.69
21195,399.69
21197,380.31
21199,459.69
21201,385.59
21203,380.31
21205,385.59
21207,459.69
21209,333.01
21211,317.69
21213,379.27
21215,317.69
21217,459.69
21219,397.52
21221,397.52
21223,317.69
21225,397.52
21227,379.27
21229,317.69
21231,459.69
21233,397.52
21235,470.01
21237,470.01
21239,333.01
22001,468.19
22003,488.16
22005,425.66
22007,466.69
22009,508.7
22011,488.16
22013,478.36
22015,394.65
22017,394.65
22019,488.16
22021,468
22023,488.16
22025,508.7
22027,478.36
22029,508.7
22031,478.36
22033,425.66
22035,508.7
22037,498.43
22039,468.19
22041,508.7
22043,508.7
22045,468.19
22047,498.43
22049,508.7
22051,406.49
22053,488.16
22055,468.19
22057,466.69
22059,508.7
22061,508.7
22063,425.66
22065,508.7
22067,468
22069,478.36
22071,406.49
22073,468
22075,427.03
22077,446.09
22079,508.7
22081,478.36
22083,468
22085,478.36
22087,427.03
22089,427.03
22091,498.43
22093,466.69
22095,427.03
22097,468.19
22099,468.19
22101,468.19
22103,406.49
22105,498.43
22107,508.7
22109,466.69
22111,468
22113,468.19
22115,508.7
22117,498.43
22119,478.36
22121,425.66
22123,508.7
22125,498.43
22127,508.7
23001,380.48
23003,440.95
23005,352.78
23007,380.48
23009,440.95
23011,369.4
23013,369.4
23015,369.4
23017,369.4
23019,380.48
23021,380.48
23023,352.78
23025,380.48
23027,380.48
23029,440.95
23031,352.78
24001,267.36
24003,267.36
24005,267.36
24009,267.36
24011,267.36
24013,267.36
24015,267.36
24017,267.36
24019,267.36
24021,267.36
24023,267.36
24025,267.36
24027,267.36
24029,267.36
24031,267.36
24033,267.36
24035,267.36
24037,267.36
24039,267.36
24041,267.36
24043,267.36
24045,267.36
24047,267.36
24510,267.36
26001,339.41
26003,465.14
26005,322.3
26007,339.41
26009,319.66
26011,338.64
26013,465.14
26015,322.3
26017,330.48
26019,319.66
26021,385.01
26023,385.01
26025,339.64
26027,385.01
26029,319.66
26031,339.41
26033,371.04
26035,363.38
26037,343.17
26039,339.41
26041,465.14
26043,465.14
26045,343.17
26047,319.66
26049,300.64
26051,363.38
26053,465.14
26055,319.66
26057,338.64
26059,370.47
26061,465.14
26063,340.91
26065,343.17
26067,347.63
26069,339.41
26071,465.14
26073,340.43
26075,327.5
26077,339.64
26079,319.66
26081,293.4
26083,465.14
26085,293.4
26087,331.82
26089,319.66
26091,383.51
26093,262.4
26095,465.14
26097,371.04
26099,280.87
26101,319.66
26103,465.14
26105,293.4
26107,293.4
26109,465.14
26111,363.38
26113,319.66
26115,292.04
26117,293.4
26119,339.41
26121,293.4
26123,293.4
26125,280.87
26127,293.4
26129,339.41
