State Key,Value,,,,,,State,State FIPS
OR93,3,,,,,,,
OR92,3,,,,,,,
OR91,3,,,,,,,
OR90,3,,,,,,,
OR9,0.635,,,,,,,
OR89,3,,,,,,,
OR88,3,,,,,,,
OR87,3,,,,,,,
OR86,3,,,,,,,
OR85,3,,,,,,,
OR84,3,,,,,,,
OR83,3,,,,,,,
OR82,3,,,,,,,
OR81,3,,,,,,,
OR80,3,,,,,,,
OR8,0.635,,,,,,,
OR79,3,,,,,,,
OR78,3,,,,,,,
OR77,3,,,,,,,
OR76,3,,,,,,,
OR75,3,,,,,,,
OR74,3,,,,,,,
OR73,3,,,,,,,
OR72,3,,,,,,,
OR71,3,,,,,,,
OR70,3,,,,,,,
OR7,0.635,,,,,,,
OR69,3,,,,,,,
OR68,3,,,,,,,
OR67,3,,,,,,,
OR66,3,,,,,,,
OR65,3,,,,,,,
OR64,3,,,,,,,
OR63,2.952,,,,,,,
OR62,2.873,,,,,,,
OR61,2.81,,,,,,,
OR60,2.714,,,,,,,
OR6,0.635,,,,,,,
OR59,2.603,,,,,,,
OR58,2.548,,,,,,,
OR57,2.437,,,,,,,
OR56,2.333,,,,,,,
OR55,2.23,,,,,,,
OR54,2.135,,,,,,,
OR53,2.04,,,,,,,
OR52,1.952,,,,,,,
OR51,1.865,,,,,,,
OR50,1.786,,,,,,,
OR5,0.635,,,,,,,
OR49,1.706,,,,,,,
OR48,1.635,,,,,,,
OR47,1.563,,,,,,,
OR46,1.5,,,,,,,
OR45,1.444,,,,,,,
OR44,1.397,,,,,,,
OR43,1.357,,,,,,,
OR42,1.325,,,,,,,
OR41,1.302,,,,,,,
OR40,1.278,,,,,,,
OR4,0.635,,,,,,,
OR39,1.262,,,,,,,
OR38,1.246,,,,,,,
OR37,1.238,,,,,,,
OR36,1.23,,,,,,,
OR35,1.222,,,,,,,
OR34,1.214,,,,,,,
OR33,1.198,,,,,,,
OR32,1.183,,,,,,,
OR31,1.159,,,,,,,
OR30,1.135,,,,,,,
OR3,0.635,,,,,,,
OR29,1.119,,,,,,,
OR28,1.087,,,,,,,
OR27,1.048,,,,,,,
OR26,1.024,,,,,,,
OR25,1.004,,,,,,,
OR24,1,,,,,,,
OR23,1,,,,,,,
OR22,1,,,,,,,
OR21,1,,,,,,,
OR20,0.635,,,,,,,
OR2,0.635,,,,,,,
OR19,0.635,,,,,,,
OR18,0.635,,,,,,,
OR17,0.635,,,,,,,
OR16,0.635,,,,,,,
OR15,0.635,,,,,,,
OR14,0.635,,,,,,,
OR13,0.635,,,,,,,
OR12,0.635,,,,,,,
OR11,0.635,,,,,,,
OR100,3,,,,,,,
OR10,0.635,,,,,,,
OR1,0.635,,,,,,,
OR0,0.635,,,,,,,
MS99,3,,,,,,,
MS98,3,,,,,,,
MS97,3,,,,,,,
MS96,3,,,,,,,
MS95,3,,,,,,,
MS94,3,,,,,,,
MS93,3,,,,,,,
MS92,3,,,,,,,
MS91,3,,,,,,,
MS90,3,,,,,,,
MS9,0.635,,,,,,,
MS89,3,,,,,,,
MS88,3,,,,,,,
MS87,3,,,,,,,
MS86,3,,,,,,,
MS85,3,,,,,,,
MS84,3,,,,,,,
MS83,3,,,,,,,
MS82,3,,,,,,,
MS81,3,,,,,,,
MS80,3,,,,,,,
MS8,0.635,,,,,,,
MS79,3,,,,,,,
MS78,3,,,,,,,
MS77,3,,,,,,,
MS76,3,,,,,,,
MS75,3,,,,,,,
MS74,3,,,,,,,
MS73,3,,,,,,,
MS72,3,,,,,,,
MS71,3,,,,,,,
MS70,3,,,,,,,
MS7,0.635,,,,,,,
MS69,3,,,,,,,
MS68,3,,,,,,,
MS67,3,,,,,,,
MS66,3,,,,,,,
MS65,3,,,,,,,
MS64,3,,,,,,,
MS63,2.952,,,,,,,
MS62,2.873,,,,,,,
MS61,2.81,,,,,,,
MS60,2.714,,,,,,,
MS6,0.635,,,,,,,
MS59,2.603,,,,,,,
MS58,2.548,,,,,,,
MS57,2.437,,,,,,,
MS56,2.333,,,,,,,
MS55,2.23,,,,,,,
MS54,2.135,,,,,,,
MS53,2.04,,,,,,,
MS52,1.952,,,,,,,
MS51,1.865,,,,,,,
MS50,1.786,,,,,,,
MS5,0.635,,,,,,,
MS49,1.706,,,,,,,
MS48,1.635,,,,,,,
MS47,1.563,,,,,,,
MS46,1.5,,,,,,,
MS45,1.444,,,,,,,
MS44,1.397,,,,,,,
MS43,1.357,,,,,,,
MS42,1.325,,,,,,,
MS41,1.302,,,,,,,
MS40,1.278,,,,,,,
MS4,0.635,,,,,,,
MS39,1.262,,,,,,,
MS38,1.246,,,,,,,
MS37,1.238,,,,,,,
MS36,1.23,,,,,,,
MS35,1.222,,,,,,,
MS34,1.214,,,,,,,
MS33,1.198,,,,,,,
MS32,1.183,,,,,,,
MS31,1.159,,,,,,,
MS30,1.135,,,,,,,
MS3,0.635,,,,,,,
MS29,1.119,,,,,,,
MS28,1.087,,,,,,,
MS27,1.048,,,,,,,
MS26,1.024,,,,,,,
MS25,1.004,,,,,,,
MS24,1,,,,,,,
MS23,1,,,,,,,
MS22,1,,,,,,,
MS21,1,,,,,,,
MS20,0.635,,,,,,,
MS2,0.635,,,,,,,
MS19,0.635,,,,,,,
MS18,0.635,,,,,,,
MS17,0.635,,,,,,,
MS16,0.635,,,,,,,
MS15,0.635,,,,,,,
MS14,0.635,,,,,,,
MS13,0.635,,,,,,,
MS12,0.635,,,,,,,
MS11,0.635,,,,,,,
MS100,3,,,,,,,
MS10,0.635,,,,,,,
MS1,0.635,,,,,,,
MS0,0.635,,,,,,,
MN99,3,,,,,,,
MN98,3,,,,,,,
MN97,3,,,,,,,
MN96,3,,,,,,,
MN95,3,,,,,,,
MN94,3,,,,,,,
MN93,3,,,,,,,
MN92,3,,,,,,,
MN91,3,,,,,,,
MN90,3,,,,,,,
MN9,0.89,,,,,,,
MN89,3,,,,,,,
MN88,3,,,,,,,
MN87,3,,,,,,,
MN86,3,,,,,,,
MN85,3,,,,,,,
MN84,3,,,,,,,
MN83,3,,,,,,,
MN82,3,,,,,,,
MN81,3,,,,,,,
MN80,3,,,,,,,
MN8,0.89,,,,,,,
MN79,3,,,,,,,
MN78,3,,,,,,,
MN77,3,,,,,,,
MN76,3,,,,,,,
MN75,3,,,,,,,
MN74,3,,,,,,,
MN73,3,,,,,,,
MN72,3,,,,,,,
MN71,3,,,,,,,
MN70,3,,,,,,,
MN7,0.89,,,,,,,
MN69,3,,,,,,,
MN68,3,,,,,,,
MN67,3,,,,,,,
MN66,3,,,,,,,
MN65,3,,,,,,,
MN64,3,,,,,,,
MN63,2.952,,,,,,,
MN62,2.873,,,,,,,
MN61,2.81,,,,,,,
MN60,2.714,,,,,,,
MN6,0.89,,,,,,,
MN59,2.603,,,,,,,
MN58,2.548,,,,,,,
MN57,2.437,,,,,,,
MN56,2.333,,,,,,,
MN55,2.23,,,,,,,
MN54,2.135,,,,,,,
MN53,2.04,,,,,,,
MN52,1.952,,,,,,,
MN51,1.865,,,,,,,
MN50,1.786,,,,,,,
MN5,0.89,,,,,,,
MN49,1.706,,,,,,,
MN48,1.635,,,,,,,
MN47,1.563,,,,,,,
MN46,1.5,,,,,,,
MN45,1.444,,,,,,,
MN44,1.397,,,,,,,
MN43,1.357,,,,,,,
MN42,1.325,,,,,,,
MN41,1.302,,,,,,,
MN40,1.278,,,,,,,
MN4,0.89,,,,,,,
MN39,1.262,,,,,,,
MN38,1.246,,,,,,,
MN37,1.238,,,,,,,
MN36,1.23,,,,,,,
MN35,1.222,,,,,,,
MN34,1.214,,,,,,,
MN33,1.198,,,,,,,
MN32,1.183,,,,,,,
MN31,1.159,,,,,,,
MN30,1.135,,,,,,,
MN3,0.89,,,,,,,
MN29,1.119,,,,,,,
MN28,1.087,,,,,,,
MN27,1.048,,,,,,,
MN26,1.024,,,,,,,
MN25,1.004,,,,,,,
MN24,1,,,,,,,
MN23,1,,,,,,,
MN22,1,,,,,,,
MN21,1,,,,,,,
MN20,0.89,,,,,,,
MN2,0.89,,,,,,,
MN19,0.89,,,,,,,
MN18,0.89,,,,,,,
MN17,0.89,,,,,,,
MN16,0.89,,,,,,,
MN15,0.89,,,,,,,
MN14,0.89,,,,,,,
MN13,0.89,,,,,,,
MN12,0.89,,,,,,,
MN11,0.89,,,,,,,
MN100,3,,,,,,,
MN10,0.89,,,,,,,
MN1,0.89,,,,,,,
MN0,0.89,,,,,,,
MA99,2.365,,,,,,,
MA98,2.365,,,,,,,
MA97,2.365,,,,,,,
MA96,2.365,,,,,,,
MA95,2.365,,,,,,,
MA94,2.365,,,,,,,
MA93,2.365,,,,,,,
MA92,2.365,,,,,,,
MA91,2.365,,,,,,,
MA90,2.365,,,,,,,
MA9,0.751,,,,,,,
MA89,2.365,,,,,,,
MA88,2.365,,,,,,,
MA87,2.365,,,,,,,
MA86,2.365,,,,,,,
MA85,2.365,,,,,,,
MA84,2.365,,,,,,,
MA83,2.365,,,,,,,
MA82,2.365,,,,,,,
MA81,2.365,,,,,,,
MA80,2.365,,,,,,,
MA8,0.751,,,,,,,
MA79,2.365,,,,,,,
MA78,2.365,,,,,,,
MA77,2.365,,,,,,,
MA76,2.365,,,,,,,
MA75,2.365,,,,,,,
MA74,2.365,,,,,,,
MA73,2.365,,,,,,,
MA72,2.365,,,,,,,
MA71,2.365,,,,,,,
MA70,2.365,,,,,,,
MA7,0.751,,,,,,,
MA69,2.365,,,,,,,
MA68,2.365,,,,,,,
MA67,2.365,,,,,,,
MA66,2.365,,,,,,,
MA65,2.365,,,,,,,
MA64,2.365,,,,,,,
MA63,2.365,,,,,,,
MA62,2.365,,,,,,,
MA61,2.365,,,,,,,
MA60,2.365,,,,,,,
MA6,0.751,,,,,,,
MA59,2.28,,,,,,,
MA58,2.206,,,,,,,
MA57,2.142,,,,,,,
MA56,2.08,,,,,,,
MA55,2.019,,,,,,,
MA54,1.961,,,,,,,
MA53,1.902,,,,,,,
MA52,1.847,,,,,,,
MA51,1.792,,,,,,,
MA50,1.741,,,,,,,
MA5,0.751,,,,,,,
MA49,1.688,,,,,,,
MA48,1.641,,,,,,,
MA47,1.593,,,,,,,
MA46,1.55,,,,,,,
MA45,1.511,,,,,,,
MA44,1.478,,,,,,,
MA43,1.45,,,,,,,
MA42,1.427,,,,,,,
MA41,1.41,,,,,,,
MA40,1.393,,,,,,,
MA4,0.751,,,,,,,
MA39,1.381,,,,,,,
MA38,1.369,,,,,,,
MA37,1.363,,,,,,,
MA36,1.358,,,,,,,
MA35,1.352,,,,,,,
MA34,1.346,,,,,,,
MA33,1.334,,,,,,,
MA32,1.323,,,,,,,
MA31,1.305,,,,,,,
MA30,1.287,,,,,,,
MA3,0.751,,,,,,,
MA29,1.275,,,,,,,
MA28,1.25,,,,,,,
MA27,1.22,,,,,,,
MA26,1.183,,,,,,,
MA25,1.183,,,,,,,
MA24,1.183,,,,,,,
MA23,1.183,,,,,,,
MA22,1.183,,,,,,,
MA21,1.183,,,,,,,
MA20,0.751,,,,,,,
MA2,0.751,,,,,,,
MA19,0.751,,,,,,,
MA18,0.751,,,,,,,
MA17,0.751,,,,,,,
MA16,0.751,,,,,,,
MA15,0.751,,,,,,,
MA14,0.751,,,,,,,
MA13,0.751,,,,,,,
MA12,0.751,,,,,,,
MA11,0.751,,,,,,,
MA100,2.365,,,,,,,
MA10,0.751,,,,,,,
MA1,0.751,,,,,,,
MA0,0.751,,,,,,,
DC99,2.181,,,,,,,
DC98,2.181,,,,,,,
DC97,2.181,,,,,,,
DC96,2.181,,,,,,,
DC95,2.181,,,,,,,
DC94,2.181,,,,,,,
DC93,2.181,,,,,,,
DC92,2.181,,,,,,,
DC91,2.181,,,,,,,
DC90,2.181,,,,,,,
DC9,0.654,,,,,,,
DC89,2.181,,,,,,,
DC88,2.181,,,,,,,
DC87,2.181,,,,,,,
DC86,2.181,,,,,,,
DC85,2.181,,,,,,,
DC84,2.181,,,,,,,
DC83,2.181,,,,,,,
DC82,2.181,,,,,,,
DC81,2.181,,,,,,,
DC80,2.181,,,,,,,
DC8,0.654,,,,,,,
DC79,2.181,,,,,,,
DC78,2.181,,,,,,,
DC77,2.181,,,,,,,
DC76,2.181,,,,,,,
DC75,2.181,,,,,,,
DC74,2.181,,,,,,,
DC73,2.181,,,,,,,
DC72,2.181,,,,,,,
DC71,2.181,,,,,,,
DC70,2.181,,,,,,,
DC7,0.654,,,,,,,
DC69,2.181,,,,,,,
DC68,2.181,,,,,,,
DC67,2.181,,,,,,,
DC66,2.181,,,,,,,
DC65,2.181,,,,,,,
DC64,2.181,,,,,,,
DC63,2.181,,,,,,,
DC62,2.181,,,,,,,
DC61,2.181,,,,,,,
DC60,2.099,,,,,,,
DC6,0.654,,,,,,,
DC59,2.02,,,,,,,
DC58,1.944,,,,,,,
DC57,1.871,,,,,,,
DC56,1.801,,,,,,,
DC55,1.733,,,,,,,
DC54,1.668,,,,,,,
DC53,1.605,,,,,,,
DC52,1.545,,,,,,,
DC51,1.487,,,,,,,
DC50,1.431,,,,,,,
DC5,0.654,,,,,,,
DC49,1.377,,,,,,,
DC48,1.325,,,,,,,
DC47,1.275,,,,,,,
DC46,1.227,,,,,,,
DC45,1.181,,,,,,,
DC44,1.137,,,,,,,
DC43,1.094,,,,,,,
DC42,1.053,,,,,,,
DC41,1.013,,,,,,,
DC40,0.975,,,,,,,
DC4,0.654,,,,,,,
DC39,0.938,,,,,,,
DC38,0.927,,,,,,,
DC37,0.916,,,,,,,
DC36,0.896,,,,,,,
DC35,0.876,,,,,,,
DC34,0.856,,,,,,,
DC33,0.836,,,,,,,
DC32,0.817,,,,,,,
DC31,0.799,,,,,,,
DC30,0.779,,,,,,,
DC3,0.654,,,,,,,
DC29,0.76,,,,,,,
